Id,Category
s_s_ arab princ who gave hillari 50 million beg american not to vote for trump e_e_,fake
s_s_ is presid trump realli go to revalu gold to thi jaw drop price e_e_,real
s_s_ the libertarian parti just gave up on win endors hillari over trump e_e_,fake
s_s_ new york time warn that donald trump is stalk muslim kid in their dream e_e_,fake
s_s_ is donald trump autist e_e_,real
s_s_ trump is alreadi betray hi voter e_e_,fake
s_s_ 370 economist sign letter urg america not to vote for donald trump e_e_,fake
s_s_ trump call edward snowden a traitor impli he should be execut e_e_,real
s_s_ massiv spike in obamacar health premium could boost trump to victori e_e_,fake
s_s_ moron trump campaign think reopen clinton email investig will save them e_e_,fake
s_s_ teacher to 11 yr old i cant wait until trump is elect he go to deport all you muslim e_e_,fake
s_s_ despit gain some in the nation poll the elector math remain dismal for trump e_e_,fake
s_s_ a trump support just held six children at gunpoint for dumbest reason ever e_e_,real
s_s_ even hillari niec is vote trump e_e_,fake
s_s_ defeat white liber in the age of trump e_e_,fake
s_s_ everybodi is tell me that trump is go to win so whi do i have such an omin feel e_e_,fake
s_s_ vote machin switch trump vote to hillari clinton it is happen again crime all star e_e_,fake
s_s_ elect rig and dirti trick against trump and brexit slatteri and collett e_e_,fake
s_s_ break trump set to break 50 year old record with black voter e_e_,fake
s_s_ trump walk of fame star smash with a sledgehamm e_e_,fake
s_s_ us offici see no link between trump and russia e_e_,fake
s_s_ the big upset democrat go into shock as donald trump pull even with crook hillari in michigan e_e_,fake
s_s_ donald trump excus pour tout le minorit qu il n a pa eu le temp d attaqu pendant la campagn le gorafi e_e_,fake
s_s_ donald trump jr met with russian advoc about syria e_e_,real
s_s_ bang what the globalist are about to unleash on trump will kill america e_e_,fake
s_s_ top black live matter activist we will incit riot everywher if trump win e_e_,fake
s_s_ cnn expos use own camera man for stori as trump protest e_e_,fake
s_s_ thank you fbi the clinton email investig ha shift the poll number significantli in trump favor e_e_,fake
s_s_ black mob vicious beat white trump voter e_e_,fake
s_s_ trump say fbi just right the horribl mistak they made in juli e_e_,real
s_s_ place most unsettl by rapid demograph chang are drawn to donald trump e_e_,real
s_s_ congressman tell cub scout he ll vote trump no matter what crazi thing he say e_e_,fake
s_s_ msm poll gaslight us voter with manipul poll result trump is win in adjust averag e_e_,fake
